lakeid,sampledate,depth,cl,ca,mg,na,k,fe,mn,cond
SP,9/21/1987,1,,,,,,,,
SP,9/21/1987,3,,,,,,,,
SP,9/21/1987,5,,,,,,,,
SP,9/21/1987,7,,,,,,,,
SP,9/21/1987,9,,,,,,,,
SP,9/21/1987,11,,,,,,,,
SP,9/21/1987,12,,,,,,,,
SP,9/21/1987,14,,,,,,,,
SP,9/21/1987,16,,,,,,,,
SP,10/5/1987,0,,,,,,,,
SP,10/5/1987,2,,,,,,,,
SP,10/5/1987,4,,,,,,,,
SP,10/5/1987,6,,,,,,,,
SP,10/5/1987,8,,,,,,,,
SP,10/5/1987,10,,,,,,,,
SP,10/5/1987,12,,,,,,0,0,
SP,10/5/1987,13,,,,,,,,
SP,10/5/1987,15,,,,,,2.95,0.32,
SP,10/5/1987,17,,,,,,4.11,0.34,
SP,10/20/1987,1,,,,,,,,
SP,10/20/1987,3,,,,,,,,
SP,10/20/1987,5,,,,,,,,
SP,10/20/1987,7,,,,,,,,
SP,10/20/1987,9,,,,,,,,
SP,10/20/1987,11,,,,,,,,
SP,10/20/1987,13,,,,,,,,
SP,10/20/1987,15,,,,,,,,
SP,10/20/1987,17,,,,,,,,
SP,11/2/1987,0,3.11,9.28,2.69,1.83,0.67,,,79
SP,11/2/1987,2,,,,,,,,
SP,11/2/1987,4,,,,,,,,
SP,11/2/1987,6,,,,,,,,
SP,11/2/1987,8,,,,,,,,
SP,11/2/1987,9,,,,,,,,
SP,11/2/1987,11,,,,,,,,
SP,11/2/1987,13,,,,,,,,
SP,11/2/1987,15,,,,,,,,
SP,11/2/1987,17,3.19,9.33,2.66,1.86,0.68,0,0,80
SP,11/16/1987,0,,,,,,,,
SP,11/16/1987,2,,,,,,,,
SP,11/16/1987,4,,,,,,,,
SP,11/16/1987,6,,,,,,,,
SP,11/16/1987,8,,,,,,,,
SP,11/16/1987,10,,,,,,,,
SP,11/16/1987,12,,,,,,,,
SP,11/16/1987,14,,,,,,,,
SP,11/16/1987,15,,,,,,,,
SP,11/16/1987,17,,,,,,,,
SP,1/19/1988,1,,,,,,,,
SP,1/19/1988,3,,,,,,,,
SP,1/19/1988,5,,,,,,,,
SP,1/19/1988,7,,,,,,,,
SP,1/19/1988,9,,,,,,,,
SP,1/19/1988,11,,,,,,,,
SP,1/19/1988,13,,,,,,,,
SP,1/19/1988,15,,,,,,0,0,
SP,1/19/1988,16,,,,,,,,
SP,2/29/1988,0,3.85,11.68,3.16,2.3,0.84,0.06,0,98
SP,2/29/1988,2,,,,,,,,
SP,2/29/1988,4,,,,,,,,
SP,2/29/1988,6,,,,,,,,
SP,2/29/1988,8,,,,,,,,
SP,2/29/1988,10,3.33,9.82,2.67,1.92,0.67,0,0,84
SP,2/29/1988,12,,,,,,,,
SP,2/29/1988,14,,,,,,,,
SP,2/29/1988,16,3.35,10.44,2.75,1.88,0.7,0.17,0.33,
SP,2/29/1988,18,3.48,11.68,2.88,1.88,0.87,15.32,1.49,107
SP,4/4/1988,0,,,,,,0,0,
SP,4/4/1988,1,,,,,,,,
SP,4/4/1988,3,,,,,,,,
SP,4/4/1988,5,,,,,,,,
SP,4/4/1988,7,,,,,,,,
SP,4/4/1988,9,,,,,,,,
SP,4/4/1988,11,,,,,,,,
SP,4/4/1988,13,,,,,,,,
SP,4/4/1988,15,,,,,,,,
SP,4/4/1988,17,,,,,,,,
SP,4/25/1988,0,3.35,10.33,2.67,1.83,0.66,0,0,80
SP,4/25/1988,2,,,,,,,,
SP,4/25/1988,4,,,,,,,,
SP,4/25/1988,6,,,,,,,,
SP,4/25/1988,8,,,,,,,,
SP,4/25/1988,10,3.32,9.77,2.65,1.87,0.66,0.07,0,81
SP,4/25/1988,12,,,,,,,,
SP,4/25/1988,14,,,,,,,,
SP,4/25/1988,16,,,,,,,,
SP,4/25/1988,18,3.31,10.33,2.68,1.79,0.63,0.05,0,80
SP,5/9/1988,0,,,,,,,,
SP,5/9/1988,2,,,,,,,,
SP,5/9/1988,4,,,,,,,,
SP,5/9/1988,5,,,,,,,,
SP,5/9/1988,7,,,,,,,,
SP,5/9/1988,9,,,,,,,,
SP,5/9/1988,11,,,,,,,,
SP,5/9/1988,13,,,,,,,,
SP,5/9/1988,15,,,,,,,,
SP,5/9/1988,17,,,,,,,,
SP,5/24/1988,0,,,,,,0,0,
SP,5/24/1988,2,,,,,,,,
SP,5/24/1988,4,,,,,,,,
SP,5/24/1988,6,,,,,,,,
SP,5/24/1988,8,,,,,,0,0,
SP,5/24/1988,9,,,,,,,,
SP,5/24/1988,11,,,,,,,,
SP,5/24/1988,13,,,,,,,,
SP,5/24/1988,15,,,,,,0,0,
SP,5/24/1988,17,,,,,,,,
SP,6/6/1988,0,,,,,,,,
SP,6/6/1988,2,,,,,,,,
SP,6/6/1988,4,,,,,,,,
SP,6/6/1988,6,,,,,,,,
SP,6/6/1988,8,,,,,,,,
SP,6/6/1988,10,,,,,,,,
SP,6/6/1988,12,,,,,,,,
SP,6/6/1988,13,,,,,,,,
SP,6/6/1988,15,,,,,,,,
SP,6/6/1988,17,,,,,,,,
SP,6/21/1988,0,,,,,,0.08,0,
SP,6/21/1988,2,,,,,,,,
SP,6/21/1988,4,,,,,,,,
SP,6/21/1988,6,,,,,,,,
SP,6/21/1988,8,,,,,,0,0,
SP,6/21/1988,10,,,,,,,,
SP,6/21/1988,12,,,,,,0,0,
SP,6/21/1988,14,,,,,,,,
SP,6/21/1988,15,,,,,,0.05,0,
SP,6/21/1988,17,,,,,,,,
SP,7/5/1988,0,,,,,,,,
SP,7/5/1988,2,,,,,,,,
SP,7/5/1988,4,,,,,,,,
SP,7/5/1988,5,,,,,,,,
SP,7/5/1988,7,,,,,,,,
SP,7/5/1988,9,,,,,,,,
SP,7/5/1988,11,,,,,,,,
SP,7/5/1988,13,,,,,,,,
SP,7/5/1988,15,,,,,,,,
SP,7/5/1988,17,,,,,,,,
SP,7/18/1988,0,,,,,,0,0,
SP,7/18/1988,2,,,,,,,,
SP,7/18/1988,4,,,,,,,,
SP,7/18/1988,6,,,,,,,,
SP,7/18/1988,8,,,,,,0,0,
SP,7/18/1988,10,,,,,,0,0,
SP,7/18/1988,12,,,,,,,,
SP,7/18/1988,14,,,,,,,,
SP,7/18/1988,15,,,,,,0,0.05,
SP,7/18/1988,17,,,,,,,,
SP,8/1/1988,0,,,,,,,,
SP,8/1/1988,2,,,,,,,,
SP,8/1/1988,4,,,,,,,,
SP,8/1/1988,5,,,,,,,,
SP,8/1/1988,7,,,,,,,,
SP,8/1/1988,9,,,,,,,,
SP,8/1/1988,11,,,,,,,,
SP,8/1/1988,13,,,,,,,,
SP,8/1/1988,15,,,,,,,,
SP,8/1/1988,17,,,,,,,,
SP,8/16/1988,0,3.41,9.47,2.69,1.99,0.68,0,0,83
SP,8/16/1988,1,,,,,,,,
SP,8/16/1988,3,,,,,,,,
SP,8/16/1988,5,3.46,9.68,2.71,2.04,0.66,0,0,
SP,8/16/1988,7,,,,,,,,
SP,8/16/1988,9,,,,,,,,
SP,8/16/1988,11,,,,,,,,
SP,8/16/1988,13,,,,,,,,
SP,8/16/1988,15,3.42,9.47,2.69,1.9,0.74,0.17,0.03,
SP,8/16/1988,17,,,,,,,,
SP,8/29/1988,0,,,,,,,,
SP,8/29/1988,2,,,,,,,,
SP,8/29/1988,4,,,,,,,,
SP,8/29/1988,6,,,,,,,,
SP,8/29/1988,8,,,,,,,,
SP,8/29/1988,10,,,,,,,,
SP,8/29/1988,12,,,,,,,,
SP,8/29/1988,14,,,,,,,,
SP,8/29/1988,16,,,,,,,,
SP,8/29/1988,18,,,,,,,,
SP,9/12/1988,0,,,,,,0,0,
SP,9/12/1988,2,,,,,,,,
SP,9/12/1988,4,,,,,,,,
SP,9/12/1988,6,,,,,,,,
SP,9/12/1988,8,,,,,,0,0,
SP,9/12/1988,9,,,,,,,,
SP,9/12/1988,11,,,,,,,,
SP,9/12/1988,13,,,,,,,,
SP,9/12/1988,15,,,,,,0.18,0.25,
SP,9/12/1988,17,,,,,,,,
SP,9/27/1988,0,,,,,,,,
SP,9/27/1988,2,,,,,,,,
SP,9/27/1988,4,,,,,,,,
SP,9/27/1988,6,,,,,,,,
SP,9/27/1988,8,,,,,,,,
SP,9/27/1988,10,,,,,,,,
SP,9/27/1988,12,,,,,,,,
SP,9/27/1988,14,,,,,,,,
SP,9/27/1988,15,,,,,,,,
SP,9/27/1988,17,,,,,,,,
SP,10/10/1988,0,,,,,,0,0,
SP,10/10/1988,2,,,,,,,,
SP,10/10/1988,4,,,,,,,,
SP,10/10/1988,6,,,,,,,,
SP,10/10/1988,8,,,,,,0.07,0,
SP,10/10/1988,9,,,,,,,,
SP,10/10/1988,11,,,,,,,,
SP,10/10/1988,13,,,,,,,,
SP,10/10/1988,15,,,,,,0.96,0.26,
SP,10/10/1988,17,,,,,,,,
SP,10/24/1988,0,,,,,,,,
SP,10/24/1988,2,,,,,,,,
SP,10/24/1988,4,,,,,,,,
SP,10/24/1988,6,,,,,,,,
SP,10/24/1988,8,,,,,,,,
SP,10/24/1988,10,,,,,,,,
SP,10/24/1988,12,,,,,,,,
SP,10/24/1988,14,,,,,,,,
SP,10/24/1988,16,,,,,,,,
SP,10/24/1988,18,,,,,,,,
SP,11/8/1988,0,3.31,9.35,2.69,1.91,0.68,0.07,0,73
SP,11/8/1988,2,,,,,,,,
SP,11/8/1988,4,,,,,,,,
SP,11/8/1988,6,,,,,,,,
SP,11/8/1988,8,,,,,,,,
SP,11/8/1988,10,3.29,9.35,2.71,1.93,0.67,0.07,0,73
SP,11/8/1988,11,,,,,,,,
SP,11/8/1988,13,,,,,,,,
SP,11/8/1988,15,,,,,,,,
SP,11/8/1988,17,,,,,,,,
SP,1/12/1989,0,,,,,,0,0,
SP,1/12/1989,1,,,,,,,,
SP,1/12/1989,3,,,,,,,,
SP,1/12/1989,5,,,,,,,,
SP,1/12/1989,7,,,,,,,,
SP,1/12/1989,9,,,,,,,,
SP,1/12/1989,11,,,,,,,,
SP,1/12/1989,13,,,,,,,,
SP,1/12/1989,15,,,,,,,,
SP,1/12/1989,17,,,,,,,,
SP,2/23/1989,0,4.9,10.52,3.05,2.26,0.77,0,0,92
SP,2/23/1989,2,,,,,,,,
SP,2/23/1989,4,,,,,,,,
SP,2/23/1989,6,,,,,,,,
SP,2/23/1989,8,,,,,,,,
SP,2/23/1989,10,3.49,9.4,2.65,2.01,0.67,0,0,82
SP,2/23/1989,12,,,,,,,,
SP,2/23/1989,14,,,,,,,,
SP,2/23/1989,16,,,,,,,,
SP,2/23/1989,18,3.52,12.96,3.41,2.04,0.91,15.29,1.08,114
SP,3/29/1989,0,,,,,,0,0.03,
SP,3/29/1989,1,,,,,,,,
SP,3/29/1989,3,,,,,,,,
SP,3/29/1989,5,,,,,,,,
SP,3/29/1989,7,,,,,,,,
SP,3/29/1989,9,,,,,,,,
SP,3/29/1989,11,,,,,,,,
SP,3/29/1989,13,,,,,,,,
SP,3/29/1989,15,,,,,,,,
SP,3/29/1989,17,,,,,,,,
SP,5/1/1989,0,3.21,8.29,2.42,1.86,0.65,0,0.03,77
SP,5/1/1989,2,,,,,,,,
SP,5/1/1989,4,,,,,,,,
SP,5/1/1989,6,,,,,,,,
SP,5/1/1989,8,,,,,,,,
SP,5/1/1989,10,3.49,9.4,2.66,2,0.69,0,0.03,84
SP,5/1/1989,11,,,,,,,,
SP,5/1/1989,13,,,,,,,,
SP,5/1/1989,15,,,,,,,,
SP,5/1/1989,17,,,,,,,,
SP,5/17/1989,0,,,,,,,,
SP,5/17/1989,2,,,,,,,,
SP,5/17/1989,4,,,,,,,,
SP,5/17/1989,6,,,,,,,,
SP,5/17/1989,8,,,,,,,,
SP,5/17/1989,10,,,,,,,,
SP,5/17/1989,12,,,,,,,,
SP,5/17/1989,14,,,,,,,,
SP,5/17/1989,16,,,,,,,,
SP,5/17/1989,18,,,,,,,,
SP,5/30/1989,0,,,,,,0.03,0,
SP,5/30/1989,2,,,,,,,,
SP,5/30/1989,4,,,,,,,,
SP,5/30/1989,6,,,,,,,,
SP,5/30/1989,8,,,,,,0,0,
SP,5/30/1989,10,,,,,,,,
SP,5/30/1989,12,,,,,,,,
SP,5/30/1989,14,,,,,,,,
SP,5/30/1989,15,,,,,,0,0,
SP,5/30/1989,17,,,,,,,,
SP,5/30/1989,18,,,,,,,,
SP,6/13/1989,1,,,,,,,,
SP,6/13/1989,3,,,,,,,,
SP,6/13/1989,5,,,,,,,,
SP,6/13/1989,7,,,,,,,,
SP,6/13/1989,9,,,,,,,,
SP,6/13/1989,11,,,,,,,,
SP,6/13/1989,13,,,,,,,,
SP,6/13/1989,15,,,,,,,,
SP,6/13/1989,17,,,,,,,,
SP,6/13/1989,18,,,,,,,,
SP,6/26/1989,1,,,,,,,,
SP,6/26/1989,3,,,,,,0,0,
SP,6/26/1989,5,,,,,,0,0,
SP,6/26/1989,7,,,,,,,,
SP,6/26/1989,9,,,,,,,,
SP,6/26/1989,10,,,,,,0,0,
SP,6/26/1989,12,,,,,,,,
SP,6/26/1989,14,,,,,,,,
SP,6/26/1989,16,,,,,,,,
SP,6/26/1989,18,,,,,,0.09,0.52,
SP,7/10/1989,1,,,,,,,,
SP,7/10/1989,3,,,,,,,,
SP,7/10/1989,5,,,,,,,,
SP,7/10/1989,7,,,,,,,,
SP,7/10/1989,9,,,,,,,,
SP,7/10/1989,11,,,,,,,,
SP,7/10/1989,13,,,,,,,,
SP,7/10/1989,15,,,,,,,,
SP,7/10/1989,17,,,,,,,,
SP,7/10/1989,18,,,,,,,,
SP,7/24/1989,1,,,,,,,,
SP,7/24/1989,3,,,,,,,,
SP,7/24/1989,5,,,,,,0,0,
SP,7/24/1989,7,,,,,,,,
SP,7/24/1989,9,,,,,,,,
SP,7/24/1989,11,,,,,,,,
SP,7/24/1989,12,,,,,,0,0,
SP,7/24/1989,14,,,,,,,,
SP,7/24/1989,16,,,,,,,,
SP,7/24/1989,18,,,,,,6.8,0.96,
SP,8/8/1989,1,,,,,,,,
SP,8/8/1989,3,,,,,,,,
SP,8/8/1989,5,,,,,,,,
SP,8/8/1989,7,,,,,,,,
SP,8/8/1989,9,,,,,,,,
SP,8/8/1989,11,,,,,,,,
SP,8/8/1989,13,,,,,,,,
SP,8/8/1989,15,,,,,,,,
SP,8/8/1989,16,,,,,,,,
SP,8/8/1989,18,,,,,,,,
SP,8/21/1989,1,,,,,,,,
SP,8/21/1989,3,,,,,,,,
SP,8/21/1989,5,3.48,9.96,2.7,2,0.7,0,0,
SP,8/21/1989,7,,,,,,,,
SP,8/21/1989,9,,,,,,,,
SP,8/21/1989,10,3.32,9.85,2.63,1.93,0.69,0,0,79
SP,8/21/1989,12,3.33,9.18,2.63,1.93,0.75,0,0,
SP,8/21/1989,14,,,,,,,,
SP,8/21/1989,16,,,,,,,,
SP,8/21/1989,18,3.43,10.29,2.79,1.98,0.8,7.87,0.64,89
SP,9/5/1989,1,,,,,,,,
SP,9/5/1989,3,,,,,,,,
SP,9/5/1989,5,,,,,,,,
SP,9/5/1989,7,,,,,,,,
SP,9/5/1989,9,,,,,,,,
SP,9/5/1989,10,,,,,,,,
SP,9/5/1989,12,,,,,,,,
SP,9/5/1989,14,,,,,,,,
SP,9/5/1989,16,,,,,,,,
SP,9/5/1989,18,,,,,,,,
SP,9/18/1989,1,,,,,,,,
SP,9/18/1989,3,,,,,,,,
SP,9/18/1989,5,,,,,,,,
SP,9/18/1989,7,,,,,,,,
SP,9/18/1989,8,,,,,,0,0,
SP,9/18/1989,10,,,,,,0,0,
SP,9/18/1989,12,,,,,,0,0,
SP,9/18/1989,14,,,,,,,,
SP,9/18/1989,16,,,,,,,,
SP,9/18/1989,18,,,,,,10.75,0.53,
SP,10/2/1989,1,,,,,,,,
SP,10/2/1989,3,,,,,,,,
SP,10/2/1989,5,,,,,,,,
SP,10/2/1989,7,,,,,,,,
SP,10/2/1989,9,,,,,,,,
SP,10/2/1989,11,,,,,,,,
SP,10/2/1989,13,,,,,,,,
SP,10/2/1989,15,,,,,,,,
SP,10/2/1989,16,,,,,,,,
SP,10/2/1989,18,,,,,,,,
SP,10/16/1989,1,,,,,,,,
SP,10/16/1989,3,,,,,,,,
SP,10/16/1989,5,,,,,,0,0,
SP,10/16/1989,7,,,,,,,,
SP,10/16/1989,9,,,,,,,,
SP,10/16/1989,11,,,,,,,,
SP,10/16/1989,12,,,,,,0,0,
SP,10/16/1989,14,,,,,,,,
SP,10/16/1989,16,,,,,,,,
SP,10/16/1989,18,,,,,,8.26,0.51,
SP,11/1/1989,1,,,,,,,,
SP,11/1/1989,3,,,,,,,,
SP,11/1/1989,5,,,,,,,,
SP,11/1/1989,7,,,,,,,,
SP,11/1/1989,9,,,,,,,,
SP,11/1/1989,11,,,,,,,,
SP,11/1/1989,13,,,,,,,,
SP,11/1/1989,15,,,,,,,,
SP,11/1/1989,17,,,,,,,,
SP,11/1/1989,18,,,,,,,,
SP,11/14/1989,1,,,,,,,,
SP,11/14/1989,3,,,,,,,,
SP,11/14/1989,5,,,,,,,,
SP,11/14/1989,7,,,,,,,,
SP,11/14/1989,9,,,,,,,,
SP,11/14/1989,10,3.5,9.86,2.73,2,0.69,0.07,0,82
SP,11/14/1989,12,,,,,,,,
SP,11/14/1989,14,,,,,,,,
SP,11/14/1989,16,,,,,,,,
SP,11/14/1989,18,3.5,10.24,2.63,1.98,0.66,0.07,0,82
SP,1/17/1990,0,,,,,,0,0,
SP,1/17/1990,2,,,,,,,,
SP,1/17/1990,4,,,,,,,,
SP,1/17/1990,6,,,,,,,,
SP,1/17/1990,8,,,,,,,,
SP,1/17/1990,10,,,,,,0,0,
SP,1/17/1990,12,,,,,,,,
SP,1/17/1990,14,,,,,,,,
SP,1/17/1990,16,,,,,,,,
SP,1/17/1990,18,,,,,,11.93,0.98,
SP,2/19/1990,1,,,,,,,,
SP,2/19/1990,3,,,,,,,,
SP,2/19/1990,5,,,,,,,,
SP,2/19/1990,7,,,,,,,,
SP,2/19/1990,9,,,,,,,,
SP,2/19/1990,10,3.66,10.59,2.84,2,0.74,0,0,85
SP,2/19/1990,12,,,,,,,,
SP,2/19/1990,14,,,,,,,,
SP,2/19/1990,16,,,,,,,,
SP,2/19/1990,18,3.81,11.31,2.97,2.05,0.9,21.24,1.11,103
SP,3/28/1990,1,,,,,,,,
SP,3/28/1990,3,,,,,,,,
SP,3/28/1990,5,,,,,,,,
SP,3/28/1990,7,,,,,,,,
SP,3/28/1990,9,,,,,,,,
SP,3/28/1990,10,,,,,,0,0,
SP,3/28/1990,12,,,,,,,,
SP,3/28/1990,14,,,,,,,,
SP,3/28/1990,16,,,,,,,,
SP,3/28/1990,18,,,,,,27.39,0.96,
SP,4/30/1990,0,3.48,9.61,2.7,1.94,0.73,0,0,81
SP,4/30/1990,2,,,,,,,,
SP,4/30/1990,4,,,,,,,,
SP,4/30/1990,6,,,,,,,,
SP,4/30/1990,8,,,,,,,,
SP,4/30/1990,10,3.54,9.87,2.57,1.94,0.72,0,0,82
SP,4/30/1990,12,,,,,,,,
SP,4/30/1990,14,,,,,,,,
SP,4/30/1990,16,,,,,,,,
SP,4/30/1990,18,3.95,9.61,2.76,1.94,0.73,0.09,0.08,83
SP,5/15/1990,1,,,,,,,,
SP,5/15/1990,3,,,,,,,,
SP,5/15/1990,5,,,,,,,,
SP,5/15/1990,7,,,,,,,,
SP,5/15/1990,9,,,,,,,,
SP,5/15/1990,11,,,,,,,,
SP,5/15/1990,13,,,,,,,,
SP,5/15/1990,15,,,,,,,,
SP,5/15/1990,17,,,,,,,,
SP,5/15/1990,18,,,,,,,,
SP,5/29/1990,1,,,,,,,,
SP,5/29/1990,3,,,,,,0,0,
SP,5/29/1990,5,,,,,,,,
SP,5/29/1990,7,,,,,,,,
SP,5/29/1990,8,,,,,,0,0,
SP,5/29/1990,10,,,,,,0,0,
SP,5/29/1990,12,,,,,,,,
SP,5/29/1990,14,,,,,,,,
SP,5/29/1990,16,,,,,,,,
SP,5/29/1990,18,,,,,,0.29,0.25,
SP,6/14/1990,1,,,,,,,,
SP,6/14/1990,3,,,,,,,,
SP,6/14/1990,5,,,,,,,,
SP,6/14/1990,7,,,,,,,,
SP,6/14/1990,9,,,,,,,,
SP,6/14/1990,11,,,,,,,,
SP,6/14/1990,13,,,,,,,,
SP,6/14/1990,15,,,,,,,,
SP,6/14/1990,17,,,,,,,,
SP,6/14/1990,18,,,,,,,,
SP,6/26/1990,1,,,,,,,,
SP,6/26/1990,3,,,,,,0,0,
SP,6/26/1990,5,,,,,,,,
SP,6/26/1990,6,,,,,,,,
SP,6/26/1990,8,,,,,,0,0.05,
SP,6/26/1990,10,,,,,,,,
SP,6/26/1990,12,,,,,,0,0,
SP,6/26/1990,13,,,,,,,,
SP,6/26/1990,15,,,,,,0,0,
SP,6/26/1990,17,,,,,,,,
SP,7/10/1990,0,,,,,,,,
SP,7/10/1990,2,,,,,,,,
SP,7/10/1990,4,,,,,,,,
SP,7/10/1990,6,,,,,,,,
SP,7/10/1990,8,,,,,,,,
SP,7/10/1990,10,,,,,,,,
SP,7/10/1990,12,,,,,,,,
SP,7/10/1990,14,,,,,,,,
SP,7/10/1990,16,,,,,,,,
SP,7/10/1990,18,,,,,,,,
SP,7/23/1990,1,,,,,,,,
SP,7/23/1990,3,,,,,,,,
SP,7/23/1990,5,,,,,,0,0,
SP,7/23/1990,6,,,,,,,,
SP,7/23/1990,8,,,,,,,,
SP,7/23/1990,10,,,,,,0,0,
SP,7/23/1990,12,,,,,,0,0,
SP,7/23/1990,14,,,,,,,,
SP,7/23/1990,16,,,,,,,,
SP,7/23/1990,18,,,,,,9.41,0.73,
SP,8/7/1990,1,,,,,,,,
SP,8/7/1990,3,,,,,,,,
SP,8/7/1990,5,,,,,,,,
SP,8/7/1990,7,,,,,,,,
SP,8/7/1990,9,,,,,,,,
SP,8/7/1990,11,,,,,,,,
SP,8/7/1990,13,,,,,,,,
SP,8/7/1990,15,,,,,,,,
SP,8/7/1990,16,,,,,,,,
SP,8/7/1990,18,,,,,,,,
SP,8/21/1990,1,,,,,,,,
SP,8/21/1990,3,,,,,,,,
SP,8/21/1990,5,,,,,,,,
SP,8/21/1990,7,,,,,,,,
SP,8/21/1990,9,,,,,,,,
SP,8/21/1990,10,3.85,10.03,2.8,2.01,0.74,0,0,86
SP,8/21/1990,12,3.6,9.82,2.83,1.94,0.65,0,0,
SP,8/21/1990,14,,,,,,,,
SP,8/21/1990,16,,,,,,,,
SP,8/21/1990,18,3.66,10.66,2.94,2.05,0.82,8.28,0.48,94
SP,9/4/1990,1,,,,,,,,
SP,9/4/1990,3,,,,,,,,
SP,9/4/1990,5,,,,,,,,
SP,9/4/1990,7,,,,,,,,
SP,9/4/1990,9,,,,,,,,
SP,9/4/1990,11,,,,,,,,
SP,9/4/1990,13,,,,,,,,
SP,9/4/1990,15,,,,,,,,
SP,9/4/1990,17,,,,,,,,
SP,9/4/1990,18,,,,,,,,
SP,9/19/1990,1,,,,,,,,
SP,9/19/1990,3,,,,,,,,
SP,9/19/1990,5,,,,,,,,
SP,9/19/1990,7,,,,,,,,
SP,9/19/1990,8,,,,,,0,0,
SP,9/19/1990,10,,,,,,0,0,
SP,9/19/1990,12,,,,,,0,0,
SP,9/19/1990,14,,,,,,,,
SP,9/19/1990,16,,,,,,,,
SP,9/19/1990,18,,,,,,6.93,0.42,
SP,10/2/1990,1,,,,,,,,
SP,10/2/1990,3,,,,,,,,
SP,10/2/1990,5,,,,,,,,
SP,10/2/1990,7,,,,,,,,
SP,10/2/1990,9,,,,,,,,
SP,10/2/1990,11,,,,,,,,
SP,10/2/1990,13,,,,,,,,
SP,10/2/1990,15,,,,,,,,
SP,10/2/1990,17,,,,,,,,
SP,10/2/1990,18,,,,,,,,
SP,10/16/1990,1,,,,,,,,
SP,10/16/1990,3,,,,,,,,
SP,10/16/1990,5,,,,,,,,
SP,10/16/1990,7,,,,,,,,
SP,10/16/1990,9,,,,,,,,
SP,10/16/1990,11,,,,,,,,
SP,10/16/1990,12,,,,,,0,0,
SP,10/16/1990,14,,,,,,,,
SP,10/16/1990,16,,,,,,,,
SP,10/16/1990,18,,,,,,9.44,0.46,
SP,10/31/1990,1,,,,,,,,
SP,10/31/1990,3,,,,,,,,
SP,10/31/1990,5,,,,,,,,
SP,10/31/1990,7,,,,,,,,
SP,10/31/1990,9,,,,,,,,
SP,10/31/1990,11,,,,,,,,
SP,10/31/1990,13,,,,,,,,
SP,10/31/1990,15,,,,,,,,
SP,10/31/1990,17,,,,,,,,
SP,10/31/1990,18,,,,,,,,
SP,11/12/1990,1,,,,,,,,
SP,11/12/1990,3,,,,,,,,
SP,11/12/1990,5,,,,,,,,
SP,11/12/1990,7,,,,,,,,
SP,11/12/1990,9,,,,,,,,
SP,11/12/1990,11,,,,,,,,
SP,11/12/1990,13,,,,,,,,
SP,11/12/1990,15,,,,,,,,
SP,11/12/1990,17,,,,,,,,
SP,11/12/1990,18,3.66,9.63,2.77,1.97,0.69,0.09,0,85
SP,1/16/1991,1,,,,,,,,
SP,1/16/1991,3,,,,,,,,
SP,1/16/1991,5,,,,,,,,
SP,1/16/1991,7,,,,,,,,
SP,1/16/1991,9,,,,,,,,
SP,1/16/1991,10,,,,,,0,0,
SP,1/16/1991,12,,,,,,,,
SP,1/16/1991,14,,,,,,,,
SP,1/16/1991,16,,,,,,,,
SP,1/16/1991,18,,,,,,0.61,0.91,
SP,2/19/1991,0,4.19,11.18,3.14,2.3,0.76,0,0,92
SP,2/19/1991,2,,,,,,,,
SP,2/19/1991,4,,,,,,,,
SP,2/19/1991,6,,,,,,,,
SP,2/19/1991,8,,,,,,,,
SP,2/19/1991,10,3.85,10.31,2.89,2.08,0.66,0,0,85
SP,2/19/1991,11,,,,,,,,
SP,2/19/1991,13,,,,,,,,
SP,2/19/1991,15,,,,,,,,
SP,2/19/1991,17,,,,,,,,
SP,3/25/1991,0,,,,,,0,0,
SP,3/25/1991,2,,,,,,,,
SP,3/25/1991,4,,,,,,,,
SP,3/25/1991,6,,,,,,,,
SP,3/25/1991,8,,,,,,,,
SP,3/25/1991,10,,,,,,0.08,0.04,
SP,3/25/1991,11,,,,,,,,
SP,3/25/1991,13,,,,,,,,
SP,3/25/1991,15,,,,,,,,
SP,3/25/1991,17,,,,,,3.23,0.99,
SP,5/7/1991,0,3.8,9.87,2.67,1.99,0.68,0,0,80
SP,5/7/1991,2,,,,,,,,
SP,5/7/1991,4,,,,,,,,
SP,5/7/1991,6,,,,,,,,
SP,5/7/1991,8,,,,,,,,
SP,5/7/1991,10,3.81,9.65,2.66,2,0.67,0,0,81
SP,5/7/1991,11,,,,,,,,
SP,5/7/1991,13,,,,,,,,
SP,5/7/1991,15,,,,,,,,
SP,5/7/1991,17,,,,,,,,
SP,5/22/1991,0,,,,,,,,
SP,5/22/1991,2,,,,,,,,
SP,5/22/1991,4,,,,,,,,
SP,5/22/1991,6,,,,,,,,
SP,5/22/1991,8,,,,,,,,
SP,5/22/1991,10,,,,,,,,
SP,5/22/1991,12,,,,,,,,
SP,5/22/1991,14,,,,,,,,
SP,5/22/1991,16,,,,,,,,
SP,5/22/1991,18,,,,,,,,
SP,6/3/1991,0,,,,,,0,0,
SP,6/3/1991,1,,,,,,,,
SP,6/3/1991,3,,,,,,0,0,
SP,6/3/1991,5,,,,,,0,0,
SP,6/3/1991,7,,,,,,,,
SP,6/3/1991,9,,,,,,,,
SP,6/3/1991,11,,,,,,,,
SP,6/3/1991,13,,,,,,,,
SP,6/3/1991,15,,,,,,,,
SP,6/3/1991,17,,,,,,,,
SP,6/19/1991,0,,,,,,,,
SP,6/19/1991,2,,,,,,,,
SP,6/19/1991,4,,,,,,,,
